model,ith run, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,slack,distance_look_ahead
NS,4,1,3,11,0.5,0.05,526237,242065,284172,9495,9728,9824,13552,25,25,false,3,7
NS,0,0,3,11,0.5,0.05,554582,245317,309265,9742,9821,9892,13961,25,25,false,3,7
NS,1,0,3,11,0.5,0.05,503487,246152,257335,9818,9847,9909,10823,25,25,false,3,7
NS,2,0,3,11,0.5,0.05,604222,245124,359098,9662,9952,9910,16578,25,25,false,3,7
NS,3,0,3,11,0.5,0.05,590273,246236,344037,9810,9877,9926,17665,25,25,false,3,7
NS,4,0,3,11,0.5,0.05,534629,245390,289239,9670,9701,9912,13489,25,25,false,3,7
NS,0,1,6,8,0.5,0.05,1027150,512765,514385,20227,20130,20727,21054,25,25,false,3,7
NS,1,1,6,8,0.5,0.05,1029251,513337,515914,20272,20315,20700,21159,25,25,false,3,7
NS,2,1,6,8,0.5,0.05,1022950,493207,529743,19251,20191,20052,22127,25,25,false,3,7
NS,3,1,6,8,0.5,0.05,1024891,512553,512338,20171,20141,20699,20698,25,25,false,3,7
NS,4,1,6,8,0.5,0.05,1030367,513798,516569,20260,20315,20707,21208,25,25,false,3,7
NS,0,0,6,8,0.5,0.05,1033296,513804,519492,20380,20403,20724,21352,25,25,false,3,7
NS,1,0,6,8,0.5,0.05,1033230,513188,520042,20412,20479,20669,21648,25,25,false,3,7
NS,2,0,6,8,0.5,0.05,1034943,512812,522131,20393,20422,20742,23660,25,25,false,3,7
NS,3,0,6,8,0.5,0.05,1030496,513055,517441,20390,20494,20676,21735,25,25,false,3,7
NS,4,0,6,8,0.5,0.05,1031916,513769,518147,20426,20433,20700,22467,25,25,false,3,7
NS,0,1,6,11,0.5,0.05,1031187,514243,516944,20200,20138,20755,21093,25,25,false,3,7
NS,1,1,6,11,0.5,0.05,1029396,495882,533514,19375,20461,20205,21826,25,25,false,3,7
NS,2,1,6,11,0.5,0.05,1022025,496364,525661,19234,19919,20253,21722,25,25,false,3,7
NS,3,1,6,11,0.5,0.05,1030431,495193,535238,19236,20514,20136,22079,25,25,false,3,7
NS,4,1,6,11,0.5,0.05,1030582,495770,534812,19360,20512,20218,21785,25,25,false,3,7
NS,0,0,6,11,0.5,0.05,1032666,514337,518329,20448,20490,20685,21322,25,25,false,3,7
NS,1,0,6,11,0.5,0.05,1030553,514227,516326,20480,20499,20707,21265,25,25,false,3,7
NS,2,0,6,11,0.5,0.05,1034569,513007,521562,20410,20426,20714,21696,25,25,false,3,7
NS,3,0,6,11,0.5,0.05,1035955,514137,521818,20412,20504,20735,22121,25,25,false,3,7
NS,4,0,6,11,0.5,0.05,1044837,513612,531225,20439,20473,20736,28246,25,25,false,3,7
NS,0,1,9,11,0.5,0.05,1564752,781828,782924,30682,30791,31451,31718,25,25,false,3,7
NS,1,1,9,11,0.5,0.05,1564967,781954,783013,30761,30886,31468,31527,25,25,false,3,7
NS,2,1,9,11,0.5,0.05,1492676,734068,758608,28820,29172,29924,31379,25,25,false,3,7
NS,3,1,9,11,0.5,0.05,1493259,735915,757344,28613,29431,30110,31519,25,25,false,3,7
NS,4,1,9,11,0.5,0.05,1562169,779392,782777,30512,30651,31438,31714,25,25,false,3,7
NS,0,0,9,11,0.5,0.05,1573068,786241,786827,31377,31387,31530,31941,25,25,false,3,7
NS,1,0,9,11,0.5,0.05,1571976,785923,786053,31348,31364,31522,31548,25,25,false,3,7
NS,2,0,9,11,0.5,0.05,1574346,786202,788144,31371,31418,31493,31996,25,25,false,3,7
NS,3,0,9,11,0.5,0.05,1575455,786261,789194,31399,31416,31506,32034,25,25,false,3,7
